Population,Plant_ID,Fruit_nr,Treatment,Missing_seeds,Seeds_counted,fruit_length,Branch ,Comments
G3,13,5,c,0,15,,0,
G3,13,6,c,0,28,49,0,
G3,13,1,hp,0,25,,0,
G3,13,2,n,0,9,,0,
G3,13,2,hp,0,9,23,0,
G3,13,3,c,0,6,,0,
G3,13,4,hp,0,1,,0,
G3,13,1,n,0,16,25,0,
G3,13,3,n,0,6,,0,
G3,1,1,e,0,1,,0,
G3,1,2,hp,0,0,0,0,
G3,1,3,hp,0,1,8,0,
G3,1,4,c,0,0,,0,
G3,1,5,hp,0,0,,0,
G3,1,6,c,0,0,,0,
G3,1,7,hp,0,0,,1,
G3,1,8,c,0,0,,1,
G3,1,9,e,0,1,13,1,
G3,1,10,c,0,0,,1,
G3,1,11,hp,0,3,8,1,
G3,1,12,e,0,1,,1,
G3,7,1,hp,0,1,,0,
G3,7,2,hp,0,22,23,0,
G3,7,3,c,0,6,,0,
G3,7,4,c,0,0,,0,
G3,7,5,e,0,3,,0,
G3,7,6,hp,0,0,,0,
G3,7,7,c,0,0,6,0,
G3,7,8,c,0,0,,1,
G3,7,9,hp,0,0,,1,
G3,7,10,hp,0,35,44,0,
G3,7,11,e,0,9,24,0,
G3,7,1,n,0,10,,0,
G3,7,2,n,0,22,,0,
G3,7,3,n,0,17,,0,
G3,7,4,n,0,21,43,0,
G3,19,1,c,0,1,,0,
G3,19,2,e,0,2,,0,
G3,19,3,hp,0,8,,0,
G3,19,4,hp,0,0,0,0,
G3,19,5,c,0,16,,0,
G3,19,6,e,0,16,,1,
G3,19,7,e,0,26,,1,
G3,19,8,e,0,17,34,1,
G3,19,9,hp,0,8,,1,
G3,19,10,c,0,6,,1,
G3,19,11,e,0,7,15,1,
G3,19,12,hp,0,9,,1,
G3,19,13,c,0,8,21,1,
G3,19,1,n,0,0,,0,
G3,19,2,n,0,1,,0,
G3,19,3,n,0,3,,1,
G3,19,4,n,0,0,,1,
G3,25,1,c,0,2,,0,
G3,25,2,hp,0,35,32,0,
G3,25,3,hp,0,29,,0,
G3,25,4,e,0,16,,0,
G3,25,5,c,0,37,41,0,
G3,25,6,e,0,30,,0,
G3,25,7,e,0,19,,0,
G3,25,8,c,0,0,,1,
G3,25,9,hp,0,9,23,1,
G3,25,10,e,0,5,,1,
G3,25,11,e,0,29,52,0,
G3,25,1,n,0,12,,0,
G3,25,2,n,0,0,,0,
G3,25,3,n,0,2,,1,
G3,31,1,c,0,0,,0,
G3,31,2,hp,0,11,27,0,
G3,31,3,hp,0,0,,0,
G3,31,4,c,1,  ,26,0,
G3,31,5,c,0,20,39,0,
G3,31,6,hp,0,0,,0,
G3,31,7,hp,0,7,,0,
G3,31,8,c,0,1,32,0,
G3,31,9,c,0,0,,0,
G3,31,10,hp,0,0,,0,
G3,31,1,n,0,13,,0,
G3,31,2,n,0,0,11,0,
G3,31,3,n,0,31,45,0,
G3,31,4,n,0,21,,0,
G3,31,5,n,0,0,,0,
G3,38,1,hp,0,0,,0,
G3,38,2,c,0,0,,0,
G3,38,3,c,0,0,0,0,
G3,38,4,hp,0,0,,0,
G3,38,5,hp,0,3,,1,
G3,38,6,c,0,4,,1,
G3,38,7,hp,0,22,47,1,
G3,38,8,c,0,0,,1,
G3,38,1,n,0,0,,0,
G3,38,2,n,0,3,6,0,
G3,38,3,n,0,33,,1,
G3,38,4,n,0,7,,1,
G3,43,1,e,0,18,61,0,
G3,43,2,hp,0,19,58,0,
G3,43,3,c,0,14,,0,
G3,43,4,c,0,18,54,0,
G3,43,5,hp,0,18,,0,
G3,43,6,e,0,2,,0,plus tiny seeds
