ID,file.y,Toluene_adj,Benzaldehyde,Acetophenone,Benzyl Benzoate,Phenylacetaldehyde,Benzyl Alcohol,Phenylethyl Alcohol,Benzyl Acetate,4-Methoxybenzaldehyde,4-Oxoisophorone,NFlowers
7904,201103,108.16666666666666,127719.71800000001,70866.95700000001,382957.963,NA,NA,NA,NA,NA,NA,4
7905,201103,86.53333333333333,126341.65100000001,72984.02000000002,191195.23,67036.549,46172.587,261475.26,NA,NA,NA,5
7906,201103,108.16666666666666,231138.01300000004,105881.832,267269.375,124300.61600000004,68888.921,187005.489,NA,NA,NA,4
7908,201103,86.53333333333333,256258.27599999998,73196.89600000001,NA,1366486.1720000003,279957.378,2749368.4160000007,84213.28,NA,NA,5
7910,201103,72.1111111111111,384305.093,50881.492,103141.30300000001,3429303.8,226785.94800000003,1039672.0090000002,NA,NA,NA,6
7911,201103,108.16666666666666,127965.05800000002,127449.31300000002,281452.8400000001,NA,24153.644000000004,15711.808000000005,NA,NA,NA,4
7912,201103,72.1111111111111,175175.09100000001,40837.224,234550.565,NA,33757.85,18835.754000000004,NA,NA,NA,6
7913,201103,86.53333333333333,106053.89600000001,109188.68000000001,NA,134186.504,NA,67450.349,NA,NA,NA,5
7914,201103,72.1111111111111,168574.07500000004,23272.380000000005,NA,1213594.8760000002,120696.52800000002,2313600.908,29183.829000000005,NA,NA,6
7915,201103,108.16666666666666,165879.44800000003,100868.903,NA,728607.903,129556.573,504416.8230000001,NA,NA,NA,4
7916,201103,86.53333333333333,115257.69100000002,76208.08299999998,196375.654,NA,13914.737000000001,14776.225,NA,NA,NA,5
7918,201103,86.53333333333333,127157.29900000003,44461.861000000004,690308.9120000001,NA,54618.672,42250.58000000001,NA,NA,NA,5
7920,201103,61.8095238095238,75179.831,170590.909,589044.7620000001,570264.7650000001,NA,1062315.1480000003,NA,NA,NA,7
7922,201103,61.8095238095238,73460.91200000001,14251.790000000003,168422.828,NA,NA,19032.441,NA,NA,NA,7
7923,201103,86.53333333333333,84028.29200000002,107691.38500000001,90812.67000000003,1221516.616,NA,5964386.162,NA,NA,NA,5
7924,201103,86.53333333333333,153436.465,96999.51700000002,NA,NA,NA,80730.92800000001,NA,NA,NA,5
7925,201103,72.1111111111111,257219.68300000002,69950.77800000002,193413.168,2671402.985,200012.36600000004,1954687.777,NA,NA,NA,6
7926,201104,108.16666666666666,176338.44200000004,99224.03400000001,423509.613,254415.227,NA,1514171.225,NA,NA,NA,4
7928,201103,86.53333333333333,342066.545,100442.057,184622.75700000004,746345.1210000002,85915.56600000002,1219433.6850000003,NA,NA,NA,5
7926,201104,108.16666666666666,234470.30900000004,160440.87700000004,333228.681,234123.18000000005,NA,1307153.93,NA,NA,NA,4
7932,201109,61.8095238095238,212309.48400000003,64550.198,310900.71800000005,16853.671,33311.255000000005,75440.00799999999,NA,NA,NA,7
7934,201109,86.53333333333333,379848.161,133467.869,401390.82600000006,466047.74399999995,133295.416,352673.2650000001,NA,NA,NA,5
7936,201109,72.1111111111111,165092.65000000002,27076.179000000004,410065.042,59173.44600000001,148582.393,406885.265,143206.419,NA,NA,6
7937,201109,72.1111111111111,65417192.884,66965.53700000001,525707.8030000001,7486758.181000002,26231371.653,77070893.351,7747877.045000002,NA,NA,6
7938,201109,61.8095238095238,497505.32000000007,10559.507,NA,2566278.5409999997,319222.416,1151888.862,NA,NA,NA,7
7939,201109,86.53333333333333,74112.46300000002,27820.492000000006,NA,NA,19945.23,107177.86400000002,NA,NA,NA,5
7940,201109,72.1111111111111,94727.98,10556.083,NA,NA,39419.9,37028,NA,NA,NA,6
7941,201109,86.53333333333333,158634.17400000003,22819.658,NA,170997.392,17924.804,415243.23699999996,NA,NA,NA,5
7943,201109,86.53333333333333,438244.20700000005,17506.801000000003,NA,3068551.197,213686.49100000004,3591480.8730000006,NA,NA,NA,5
7944,201109,86.53333333333333,381367.634,15608.927,NA,607774.001,36288.024000000005,1137769.527,NA,NA,NA,5
