Population,Plant_ID,ID,Height,RosDia1_cm,RosDia2_cm,Herbivory,Florivory,Clump,FlowerSize,DevelopedFruits,FruitsTotal
G1,113,G1 113,28,7.5,6.5,2,1,,15.219,16,22
G1,114,G1 114,26,7.5,6.5,2,2,,11.993,,
G1,115,G1 115,13,3,3.5,0,2,,14.645,9,12
G1,116,G1 116,20.5,7.5,6.5,0,0,,15.24,56,63
G1,117,G1 117,12,5,4,0,0,,15.202,9,16
G1,118,G1 118,25.5,8,4.5,2,1,,11.566,13,24
G1,119,G1 119,15,5.5,4,0,1,,8.759,11,27
G1,120,G1 120,23,6,4.5,2,0,,15.018,15,21
G1,121,G1 121,15,5,4.5,0,0,,11.753,11,16
G1,122,G1 122,20,5,4.5,3,0,,13.006,11,16
G1,123,G1 123,14.5,4.5,3,10,0,,12.987,8,11
G1,124,G1 124,17,7,6,0,0,,14.069,16,33
G1,125,G1 125,30.5,6.5,5,7,1,,14.281,8,14
G1,126,G1 126,10,2.5,2,0,0,,14.252,5,7
G1,127,G1 127,14.5,3,3.5,2,0,,14.138,8,10
G1,128,G1 128,11,3.5,3,0,2,,14.063,,
G1,129,G1 129,28.5,6.5,6,1,1,,18.426,,
G1,130,G1 130,14,6.5,5.5,45,2,,12.689,,
G1,131,G1 131,24,7,6.5,3,1,,17.513,9,19
G1,132,G1 132,25.5,8.5,8.5,20,2,,17.161,2,15
G1,133,G1 133,16,6,5,25,1,,18.968,9,29
G1,134,G1 134,22.5,7,5,10,0,,17.998,7,15
G1,135,G1 135,25,7,7,10,0,,19.388,16,32
G1,136,G1 136,22,5.5,4.5,5,1,,19.18,9,16
G1,137,G1 137,22.5,6,6,2,1,,15.558,,0
G1,138,G1 138,25,5.5,4.5,1,1,,15.234,,0
G1,139,G1 139,21,9,7,2,0,,15.845,14,34
G1,140,G1 140,17,6,5.5,1,0,,16.832,6,12
G1,141,G1 141,21,9.5,6.5,1,0,,20.187,13,19
