Plant_id,Full_ID,Scent_ID,Population,Mean_nectar,Notes,
16,Aal34c:2016:5:b,7904,Aal34c,0.061427083,,
13,Aal34c:2016:1:b:a,7905,Aal34c,0.037552083,,
15,Aal34c:2016:2:b:b,7906,Aal34c,0.033625,,
33,Aal34c:2016:1:a:b,7908,Aal34c,0.029260417,,
34,Aal12:2016:17:b,7910,Aal12,0.08328125,,
18,Aal12:2016:2:a,7911,Aal12,0.063458333,,
29,It12:10:a,7912,Fr4/IT12,0.01525,,
28,F2:39:a:selF:a,7913,Fr2,0.0195,,
37,Aal34c:2016:1:a:a,7914,Aal34c,0.040666667,,
35,Aal12:2016:12:b,7915,Aal12,0.093416667,,
39,Aal34c:2016:6:b,7916,Aal34c,0.016666667,,
41,Aal34c:2016:5:a,7918,Aal34c,0.02546875,,
5,F1:55:1c:selF:b,7920,Fr1,0.006041667,,
1,F1:33:selF:b,7922,Fr1,0.020291667,,
2,Aal04:2016:8:b,7923,Aal04,0.022171875,,
9,AalSFH:2016:6E:a,7924,AalSFH,0.02159375,,
3,Aal34c:2016:2:a:a,7925,Aal34c,0.015875,,
10,AalSFH:2016:6E:b,7926,AalSFH,0,,
22,AalSFH:2016:17:b,7928,AalSFH,0.018052083,,
61,Aal12:2016:15:a,7932,Aal12,0.045,,
21,F1:30:S:selF:a,7934,Fr1,0.0061875,,
57,Aal29:2016:13:a,7936,Aal29,0.01953125,,
7,It10:2018:i384:2:a,7937,It10,0.01146875,Found,
44,F2:39:a:selF:b,7938,Fr2,0.006510417,,
54,Aal04:2016:2:a,7939,Aal04,0.0711875,,
43,AalSFH:2016:17:a,7940,AalSFH,0.044760417,,
17,Aal34c:2016:7:a,7941,Aal34c,0.029114583,,
27,Aal04:2016:2:b,7943,Aal04,0.0385625,,
23,F1:33:5:selF:a,7944,Fr1,0.037854167,,
32,F2:56:selF:a,7945,Fr2,0.052520833,,
59,It17:111:a,7946,It17,0.069291667,,
53,It10:2018:I382:b,7947,It10,0.032140625,Most likely 1b,Found
51,F1:139:selF:b,7948,Fr1,0,,
52,Aal04:2016:1:b,7950,Aal04,0.0245625,,
46,Aal04:2016:9:b,7951,Aal04,0.09271875,,
14,AalFC:2016:7a,7953,AalFC,0.00684375,,
50,F2:56:selF:b,7954,Fr2,0.025041667,,
62,Aal12:2016:15:b,7955,Aal12,0.077921875,,
80,It6:6:a,7956,It6,0.045604167,,
47,Aal04:2016:8:a,7957,Aal04,0.021875,,
56,Aal29:2016:14:a,7958,Aal29,0.05178125,,
79,Aal29:2016:2:b,7959,Aal29,0.044854167,,
36,AalFC:2016:2:a,7960,AalFC,0.046239583,,
78,It6:9,7961,It6,0.061729167,,
49,It13:2018:4:a,7962,It13,0.136083333,,
60,It13:2018:7:b,7963,It13,0.151875,,
72,It13:2018:3:b,7964,It13,0.11646875,,
4,It10:374:a,7965,It10,0.1384375,Found,
68,It10-2018:I336:2:b,7966,It10,0.00328125,Found,
64,It12:12:a,7967,Fr4/IT12,0.032208333,,
70,It12:9:a,7969,Fr4/IT12,0.0338125,,
65,F1:F17:selF:b,7970,Fr1,0.020104167,,
85,It10:20:a,7974,It10,0.09671875,Evap,
88,It6:2:a,7976,It6,0.073510417,,
89,It8:VL30:a,7977,It8,0.235229167,,
69,F1:37a:selF:b,7978,Fr1,0.04009375,,
12,AalFC:2016:17:a:a,7979,AalFC,0.022775,,
84,It2:3:b,7980,It2,0.061958333,,
83,F1:33:selF:a,7981,Fr1,0.020291667,,
73,It6:6:b,7982,It6,0.054614583,,
24,It8:16:a,7984,It8,0.138989583,,
48,It17:114:a,7985,It17,0.115367188,,
11,Aal34c:2016:4:a,7986,Aal34c,0.01928125,,
