Population,Plant_ID,plant_id,flower_id,Flower_id,Petal_width_mm,Petal_length_mm,nectar_μl,Date,Comments,Corola_area_mm2
Aal04,1,2,9,1,NA,NA,0.06128125,2/25/20,,NA
Aal04,1,2,74,2,2.793,4.413,0.04434375,2/27/20,,38.722
Aal04,1,2,75,3,3.73,5.217,0,2/27/20,,61.133
Aal04,2,27,59,1,3.377,5.378,0.0924375,2/26/20,,57.056
Aal04,2,27,105,2,3.752,4.96,0,2/28/20,,58.465
Aal04,2,27,106,3,3.123,4.362,0.02325,2/28/20,mostly bubbles,42.796
Aal04,3,30,90,1,NA,NA,0.0895625,2/27/20,,NA
Aal04,3,30,91,2,NA,NA,0.0709375,2/27/20,,NA
Aal04,3,30,92,3,NA,NA,0.04053125,2/27/20,nectar finishes at bubble,NA
Aal04,4,31,209,1,4.236,5.12,0.14146875,3/3/20,,68.136
Aal04,4,31,210,2,4.529,5.013,0.1665625,3/3/20,,71.326
Aal04,4,31,211,3,4.519,4.977,0.12646875,3/3/20,,70.658
Aal04,5,45,93,1,NA,NA,0.13834375,2/27/20,,NA
Aal04,5,45,112,2,NA,NA,0.0838125,2/28/20,,NA
Aal04,5,45,113,3,NA,NA,0.06090625,2/28/20,,NA
Aal04,6,46,94,1,5.096,5.438,0.13509375,2/27/20,,87.06
Aal04,6,46,95,2,NA,NA,0.03225,2/27/20,,NA
Aal04,6,46,115,3,3.502,4.867,0.05034375,2/28/20,,53.546
Aal04,7,47,97,1,NA,NA,0.02634375,2/27/20,vln,NA
Aal04,7,47,116,2,2.929,3.719,0.021875,2/28/20,,34.221
Aal04,7,47,117,3,NA,NA,0.01171875,2/28/20,,NA
Aal04,8,52,125,1,NA,NA,0.0439375,2/28/20,,NA
Aal04,8,52,126,2,2.791,4.882,0.0245625,2/28/20,,42.806
Aal04,8,52,127,3,NA,NA,0,2/28/20,,NA
Aal04,9,54,131,1,4.621,6.423,0.04709375,2/28/20,,93.245
Aal04,9,54,132,2,4.038,5.255,0.103,2/28/20,,66.664
Aal04,9,54,133,3,4.655,5.851,0.06346875,2/28/20,good pic,85.566
Aal04,10,115,342,1,4.115,4.707,0.07240625,3/6/20,,60.85
Aal04,10,115,343,2,4.742,5.384,0.1418125,3/6/20,,80.208
Aal04,10,115,344,3,4.078,4.567,0.13975,3/6/20,,58.51
Aal12,1,8,5,1,2.82,3.756,0.09428125,2/25/20,good pic,33.275
Aal12,1,8,6,2,2.991,2.999,0.05309375,2/25/20,,28.18
Aal12,1,8,71,3,3.278,4.295,0.087375,2/27/20,,44.23
Aal12,2,18,66,1,3.957,4.794,0.1341875,2/26/20,,59.596
Aal12,2,18,67,2,3.38,4.096,0.0404375,2/26/20,,43.494
Aal12,2,18,68,3,3.17,3.884,0.01575,2/26/20,,38.68
Aal12,3,34,48,1,3.166,4.296,0.064,2/26/20,,42.729
Aal12,3,34,49,2,3.789,4.84,0.1008125,2/26/20,,57.613
Aal12,3,34,50,3,3.875,4.84,0.08503125,2/26/20,,58.921
Aal12,4,35,42,1,3.243,3.826,0.063,2/26/20,,38.98
Aal12,4,35,43,2,3.258,4.642,0.129125,2/26/20,,47.512
Aal12,4,35,44,3,2.993,4.281,0.088125,2/26/20,,40.253
Aal12,5,40,33,1,3.518,4.351,0.05334375,2/26/20,,48.088
Aal12,5,40,34,2,3.708,4.361,0.0791875,2/26/20,,50.801
Aal12,5,40,35,3,3.965,4.878,0.045875,2/26/20,,60.762
Aal12,6,61,148,1,3.374,3.378,0.0364375,2/28/20,,35.806
Aal12,6,61,149,2,4.104,4.348,0.02353125,2/28/20,,56.059
Aal12,6,61,150,3,3.637,4.149,0.07503125,2/28/20,,47.406
Aal12,7,62,178,1,3.921,4.645,0.083,3/2/20,,57.218
Aal12,7,62,179,2,3.965,4.721,0.07284375,3/2/20,,58.807
Aal12,8,87,287,1,NA,NA,0.051125,3/4/20,,NA
Aal12,8,87,288,2,4.19,5.555,0.0374375,3/4/20,,73.122
Aal12,8,87,289,3,3.622,4.974,0.00809375,3/4/20,,56.598
Aal12,9,106,312,1,4.045,5.446,0.0195625,3/4/20,,69.206
Aal12,9,106,313,2,4.519,6.305,0.06903125,3/4/20,good pic (f),89.511
Aal12,9,106,314,3,4.529,5.839,0.0364375,3/4/20,,83.079
Aal12,10,114,339,1,3.629,5.058,0.02375,3/6/20,Kajsa,57.665
Aal12,10,114,340,2,3.243,4.745,0.03315625,3/6/20,,48.343
Aal12,10,114,341,3,3.717,4.262,0.0130625,3/6/20,vln,49.769
Aal12,11,166,471,1,3.56,4.737,0,3/12/20,,52.979
Aal12,11,166,472,2,3.293,4.27,0,3/12/20,,44.174
Aal12,11,166,473,3,3.242,4.36,0,3/12/20,,44.407
Aal29,1,56,135,1,3.325,4.121,0.04521875,2/28/20,,43.047
Aal29,1,56,136,2,3.209,4.702,0.047625,2/28/20,,47.403
Aal29,1,56,137,3,3.238,5.064,0.0625,2/28/20,,51.513
Aal29,2,57,138,1,2.974,4.307,0.023625,2/28/20,,40.241
Aal29,2,57,139,2,2.979,4.46,0.02590625,2/28/20,,41.74
Aal29,2,57,140,3,3.515,3.888,0.0090625,2/28/20,,42.934
Aal29,3,79,198,1,3.917,4.592,0.032125,3/2/20,,56.507
Aal29,3,79,199,2,3.78,5.534,0.06771875,3/2/20,,65.717
Aal29,3,79,200,3,3.17,4.609,0.03471875,3/2/20,,45.9
Aal29,4,90,261,1,3.932,5.366,0.09415625,3/3/20,,66.285
Aal29,4,90,262,2,4.096,5.673,0.0610625,3/3/20,,73
Aal29,4,90,263,3,4.057,4.741,0.06821875,3/3/20,,60.426
Aal29,5,109,321,1,3.701,4.979,0.06590625,3/4/20,,57.891
Aal29,5,109,322,2,3.87,4.4,0.05421875,3/4/20,,53.495
Aal29,5,109,323,3,3.638,4.211,0.055125,3/4/20,,48.128
Aal29,6,113,336,1,3.113,5.09,0.00728125,3/6/20,Kajsa,49.779
Aal29,6,113,337,2,3.454,5.361,0.00809375,3/6/20,Kajsa +vln,58.172
Aal29,6,113,338,3,2.997,4.985,0.025875,3/6/20,Kajsa,46.935
Aal29,7,126,370,1,3.309,5.238,0.0640625,3/6/20,,54.452
Aal29,7,126,371,2,2.938,4.262,0,3/6/20,,39.338
Aal29,7,126,372,3,3.021,4.32,0,3/6/20,,41
Aal29,8,154,421,1,3.338,4.018,0.02590625,3/11/20,,42.135
Aal29,8,154,422,2,3.277,4.419,0.03609375,3/11/20,,45.494
Aal29,8,154,423,3,3.132,3.614,0.02590625,3/11/20,,35.56
Aal29,9,156,430,1,2.469,3.639,0,3/11/20,,28.226
Aal29,9,156,431,2,2.528,3.664,0.0081875,3/11/20,,29.099
Aal29,9,156,432,3,2.645,3.846,0.02421875,3/11/20,,31.958
Aal29,10,158,394,1,2.407,3.563,0.01121875,3/11/20,vln,26.943
Aal29,10,158,395,2,2.487,3.798,0.02871875,3/11/20,,29.674
Aal29,10,158,396,3,2.686,4.195,0.03525,3/11/20,,35.399
Aal29,11,185,526,1,2.865,5.165,0.04321875,3/13/20,,46.488
Aal29,11,185,527,2,2.194,3.399,0,3/13/20,,23.428
Aal29,11,185,528,3,3.082,5.133,0.06503125,3/13/20,,49.7
Aal29,11,185,536,1,3.063,3.948,0.01446875,3/13/20,,37.99
Aal29,11,185,537,2,2.729,4.033,0.05490625,3/13/20,,34.577
Aal29,11,185,538,3,3.077,3.925,0.0386875,3/13/20,,37.942
Aal29,12,192,551,1,2.924,4.341,0.06615625,3/13/20,,39.876
Aal29,12,192,552,2,3.802,3.802,0,3/13/20,,45.412
Aal29,12,192,553,3,2.416,3.262,0.00646875,3/13/20,vln,24.759
Aal29,13,196,557,1,3.389,4.74,0.04103125,3/13/20,,50.466
Aal29,13,196,558,2,3.268,4.457,0.0160625,3/13/20,,45.759
Aal29,13,196,559,3,3.461,4.572,0.02871875,3/13/20,,49.712
Aal34c,1,3,7,1,4.298,3.893,0.00559375,2/25/20,,52.565
Aal34c,1,3,8,2,4.249,4.213,0.00721875,2/25/20,,56.238
Aal34c,1,3,73,3,4.689,4.435,0.0348125,2/27/20,,65.332
Aal34c,2,6,10,1,2.764,3.132,0,2/25/20,,27.196
Aal34c,2,6,76,2,3.242,3.951,0.0465,2/27/20,,40.241
Aal34c,2,6,77,3,NA,NA,0.02909375,2/27/20,,NA
Aal34c,3,11,162,1,3.368,3.996,,3/2/20,accidently skiped nectar,42.281
Aal34c,3,11,229,2,2.669,4.07,0.02415625,3/3/20,,34.127
Aal34c,3,11,230,3,3.308,3.875,0.01440625,3/3/20,,40.27
Aal34c,4,13,22,1,3.112,3.837,0.054125,2/25/20,,37.513
Aal34c,4,13,23,2,3.335,4.247,0.043875,2/25/20,,44.497
Aal34c,4,13,24,3,4.082,4.789,0.01465625,2/25/20,,61.414
Aal34c,5,15,27,1,3.447,4.546,0.023875,2/25/20,,49.229
Aal34c,5,15,28,2,3.544,4.487,0.043375,2/25/20,,49.957
Aal34c,5,15,29,3,NA,NA,0.029125,2/25/20,,NA
Aal34c,6,16,13,1,3.556,4.558,0.09953125,2/25/20,,50.92
Aal34c,6,16,14,2,3.639,4.721,0.05296875,2/25/20,,53.972
Aal34c,6,16,15,3,3.156,4.204,0.03178125,2/25/20,,41.682
Aal34c,7,17,16,1,3.67,3.973,0.0535625,2/25/20,,45.807
Aal34c,7,17,17,2,3.114,4.255,0.03378125,2/25/20,,41.626
Aal34c,7,17,109,3,2.571,3.999,0,2/28/20,,32.3
Aal34c,8,25,51,1,3.672,4.137,0.0503125,2/26/20,,47.724
Aal34c,8,25,52,2,3.618,3.635,0.022375,2/26/20,,41.316
Aal34c,8,25,101,3,3.733,4.238,0.07021875,2/28/20,fruit is developing + vln,49.701
Aal34c,9,26,213,1,2.983,4.453,0.0238125,3/3/20,,41.731
Aal34c,9,26,214,2,3.469,4.131,0.074875,3/3/20,,45.02
Aal34c,9,26,329,3,3.244,4.147,0.0074375,3/6/20,Kajsa +vln,42.263
Aal34c,10,33,45,1,4.264,4.784,0.06675,2/26/20,,64.085
Aal34c,10,33,46,2,4.283,4.579,0.02103125,2/26/20,,61.612
Aal34c,10,33,47,3,3.7,4.6,0,2/26/20,,53.47
Aal34c,11,37,39,1,3.594,3.597,0.0318125,2/26/20,,40.613
Aal34c,11,37,40,2,3.303,4.234,0.0530625,2/26/20,,43.935
Aal34c,11,37,41,3,3.291,4.399,0.037125,2/26/20,,45.481
Aal34c,12,39,36,1,3.736,4.041,0.0020625,2/26/20,,47.429
Aal34c,12,39,37,2,3.499,3.506,0,2/26/20,,38.539
Aal34c,12,39,38,3,3.962,4.661,0.0479375,2/26/20,,58.015
Aal34c,13,41,30,1,3.297,3.665,0.0190625,2/26/20,,37.961
Aal34c,13,41,31,2,3.146,3.562,0.00975,2/26/20,,35.205
Aal34c,13,41,32,3,3.448,4.192,0.04759375,2/26/20,,45.409
Aal34c,14,42,100,1,3.527,3.84,0,2/28/20,,42.549
Aal34c,14,42,163,2,3.775,4.605,0.05478125,3/2/20,,54.613
Aal34c,14,42,232,3,3.655,4.447,0.03196875,3/3/20,,51.063
Aal34c,14,42,233,4,3.468,4.226,0.01371875,3/3/20,,46.042
Aal34c,15,97,282,1,2.781,3.831,0.009125,3/4/20,vln,33.471
Aal34c,15,97,283,2,3.618,4.298,0.00321875,3/4/20,Vln,48.852
Aal34c,15,97,284,3,3.104,4.027,0,3/4/20,,39.269
Aal36,1,71,327,1,5.206,4.974,0.02115625,3/6/20,Kajsa,81.35
Aal36,1,71,328,2,4.647,4.669,0,3/6/20,Kajsa,68.163
Aal36,1,71,448,3,4.852,4.659,0.0228125,3/11/20,,71.017
Aal36,2,189,548,1,2.895,3.671,0.034625,3/13/20,,33.387
Aal36,2,189,549,2,3.1,4.06,0.00303125,3/13/20,vln,39.54
Aal36,2,189,550,3,NA,NA,0,3/13/20,,NA
Aal36,3,229,661,1,2.727,3.593,0,3/16/20,photos in Magne's computer,30.782
Aal36,3,229,662,2,2.808,3.611,0.0709375,3/16/20,,31.855
Aal36,3,229,663,3,3.107,3.938,0.0811875,3/16/20,,38.439
Aal36,4,230,664,1,3.14,4.548,0.0088125,3/16/20,,44.864
Aal36,4,230,665,2,3.305,4.62,0,3/16/20,,47.969
Aal36,4,230,666,3,3.211,4.714,0,3/16/20,,47.553
Aal36,5,231,667,1,2.93,4.028,0.0349375,3/16/20,,37.077
Aal36,5,231,668,2,2.969,4.24,0.03053125,3/16/20,,39.548
Aal36,5,231,669,3,3.187,4.317,0.0315625,3/16/20,,43.223
Aal36,6,232,670,1,3.699,5.02,0.09684375,3/16/20,,58.336
Aal36,6,232,671,2,3.401,5.296,0.01115625,3/16/20,,56.585
Aal36,6,232,672,3,3.46,5.184,0,3/16/20,,56.35
Aal36,7,233,673,1,2.756,4.025,0,3/16/20,,34.849
Aal36,7,233,674,2,3.027,4.164,0.011125,3/16/20,,39.598
Aal36,7,233,675,3,3.187,4.014,0.0153125,3/16/20,,40.189
Aal36,8,234,676,1,3.847,4.2,0.0563125,3/16/20,,50.76
Aal36,8,234,677,2,3.689,3.912,0.01715625,3/16/20,,45.337
Aal36,8,234,678,3,3.393,4.181,0.0031875,3/16/20,vln,44.567
AalDMA,1,227,655,1,2.996,3.362,0.01890625,3/15/20,vln,31.644
AalDMA,1,227,656,2,3.118,3.569,0.02090625,3/15/20,,34.96
AalDMA,1,227,657,3,2.54,3.001,0.01196875,3/15/20,,23.947
AalDMB,1,188,545,1,3.252,3.399,0,3/13/20,,34.726
AalDMB,1,188,546,2,3.394,4.05,0,3/13/20,,43.183
AalDMB,1,188,547,3,3.089,3.446,0,3/13/20,,33.441
AalDMB,2,191,560,1,3.332,3.914,0.0204375,3/13/20,,40.971
AalDMB,2,191,561,2,3.459,3.541,0.0158125,3/13/20,,38.479
AalDMB,2,191,562,3,3.008,3.211,0.011875,3/13/20,vln,30.344
AalDMB,3,226,652,1,3.299,3.576,0.04665625,3/15/20,,37.062
AalDMB,3,226,653,2,3.26,3.84,0.03840625,3/15/20,,39.328
AalDMB,3,226,654,3,3.238,3.459,0.055,3/15/20,,35.187
AalDMB,4,228,658,1,3.362,3.224,0.04796875,3/15/20,,34.052
AalDMB,4,228,659,2,3.653,3.724,0.034875,3/15/20,,42.737
AalDMB,4,228,660,3,3.281,3.558,0.0045,3/15/20,vln,36.674
AalDMB,5,235,679,1,3.525,3.444,0.02921875,3/16/20,,38.139
AalDMB,5,235,680,2,3.393,3.622,0.03215625,3/16/20,,38.608
AalDMB,5,235,681,3,2.934,3.722,0.0058125,3/16/20,,34.307
AalDMB,6,242,687,1,3.097,3.782,0.01671875,3/16/20,,36.797
AalDMB,6,242,688,2,3.483,4.459,0.0876875,3/16/20,,48.791
AalDMB,6,242,689,3,2.641,3.259,0,3/16/20,,27.04
AalDMB,7,249,721,1,2.93,2.884,0.00521875,3/17/20,vln,26.547
AalDMB,7,249,722,2,3.217,3.532,0.00525,3/17/20,vln,35.696
AalDMB,7,249,723,3,3.362,3.944,0.01471875,3/17/20,vln,41.657
AalDMB,8,260,752,1,2.969,3.678,0.00871875,3/17/20,,34.306
AalDMB,8,260,753,2,3.134,3.589,0.01078125,3/17/20,,35.336
AalDMB,8,260,754,3,3.133,3.641,NA,3/17/20,,35.837
AalFC,1,12,174,1,3.198,2.87,0.03,3/2/20,,28.834
AalFC,1,12,175,2,3.501,3.001,0.00803125,3/2/20,,33.007
AalFC,1,12,234,3,4.056,3.824,0.0504375,3/3/20,,48.727
AalFC,1,12,235,4,3.502,3.559,0,3/3/20,,39.156
AalFC,1,12,236,5,3.548,3.441,0.02540625,3/3/20,,38.355
AalFC,2,14,88,1,4.195,3.924,0,2/27/20,,51.714
AalFC,2,14,89,2,2.979,4.537,0.02053125,2/27/20,,42.461
AalFC,2,14,111,3,4.103,4.765,0,2/28/20,fruit is developing,61.421
AalFC,3,36,184,1,3.301,3.797,0.0853125,3/2/20,,39.376
AalFC,3,36,185,2,3.501,3.384,0.0211875,3/2/20,,37.22
AalFC,3,36,186,3,3.131,3.633,0.03221875,3/2/20,,35.735
AalFC,4,124,345,1,3.945,4.045,0.0893125,3/6/20,,50.132
AalFC,4,124,346,2,3.934,3.78,0.0729375,3/6/20,,46.717
AalFC,4,124,347,3,3.289,3.452,0.06103125,3/6/20,,35.668
AalFC,5,139,412,1,3.115,3.058,0.0389375,3/11/20,,29.926
AalFC,5,139,413,2,3.153,3.441,0.02296875,3/11/20,,34.085
AalFC,5,139,414,3,3.072,3.929,0,3/11/20,,37.919
AalFC,6,142,373,1,4.187,3.796,0.02378125,3/6/20,,49.932
AalFC,6,142,374,2,3.925,3.912,0.02778125,3/6/20,,48.238
AalFC,6,142,375,3,3.165,4.176,0,3/11/20,,41.523
AalFC,7,144,400,1,3.01,3.417,0.00253125,3/11/20,Hampus started too + vln,32.312
AalFC,7,144,401,2,2.479,3.192,0,3/11/20,,24.859
AalFC,7,144,402,3,3.22,3.934,0.00459375,3/11/20,,39.796
AalFC,8,145,379,1,3.263,3.317,0.00971875,3/11/20,vln,34.003
AalFC,8,145,380,2,3.583,3.793,0.00403125,3/11/20,vln,42.695
AalFC,8,145,381,3,3.371,3.717,0.01003125,3/11/20,vln,39.364
AalFC,9,146,403,1,3.437,3.937,0.05521875,3/11/20,,42.51
AalFC,9,146,404,2,3.118,3.315,0,3/11/20,vln,32.472
AalFC,9,146,405,3,3.737,4.072,0.0370625,3/11/20,,47.806
AalFC,10,153,418,1,2.671,3.209,0.01796875,3/11/20,,26.927
AalFC,10,153,419,2,3.017,3.507,0.019875,3/11/20,,33.24
AalFC,10,153,420,3,3.216,3.148,0.0191875,3/11/20,,31.805
AalFC,11,159,397,1,3.405,3.663,0.03309375,3/11/20,,39.184
AalFC,11,159,398,2,2.835,3.699,0,3/11/20,,32.945
AalFC,11,159,399,3,3.433,3.844,0.0333125,3/11/20,,41.458
AalPB,1,20,20,1,2.736,3.224,0.01759375,2/25/20,,27.712
AalPB,1,20,21,2,3.368,4.388,0.0728125,2/25/20,,46.429
AalPB,1,20,85,3,3.341,4.12,0.04396875,2/27/20,,43.244
AalPB,2,38,218,1,4.145,5.005,0.04384375,3/3/20,might be missing nectar photo,65.175
AalPB,2,38,219,2,4.183,4.667,0.04709375,3/3/20,,61.33
AalPB,2,38,220,3,3.75,4.078,0.0351875,3/3/20,,48.043
AalPB,3,137,391,1,3.076,4.116,0.0135625,3/11/20,,39.775
AalPB,3,137,392,2,3.447,4.179,0.02159375,3/11/20,,45.255
AalPB,3,137,393,3,2.814,3.589,0,3/11/20,,31.728
AalPB,4,147,382,1,3.378,4.743,0.04175,3/11/20,,50.334
AalPB,4,147,383,2,2.849,4.455,0,3/11/20,,39.874
AalPB,4,147,384,3,2.678,3.668,0,3/11/20,,30.86
AalPB,5,167,477,1,2.576,3.597,,3/12/20,lost the microcap + strange flower,29.11
AalPB,5,167,478,2,NA,NA,0.0105,3/12/20,strange flower,NA
AalPB,5,167,479,3,NA,NA,0.0501875,3/12/20,strange flower,NA
AalPB,6,282,813,1,2.721,2.506,0,3/19/20,,21.422
AalPB,6,282,814,2,2.505,2.854,0,3/19/20,,22.46
AalPB,6,282,815,3,2.475,2.756,0.02353125,3/19/20,,21.429
AalSFH,1,9,3,1,3.331,4.709,0.02971875,2/25/20,test,49.278
AalSFH,1,9,4,2,2.757,3.417,0,2/25/20,,29.596
AalSFH,1,9,72,3,3.083,4.246,0.0350625,2/27/20,,41.125
AalSFH,2,10,1,1,3.008,4.366,0,2/25/20,test,41.258
AalSFH,2,10,2,2,NA,NA,0,2/25/20,test,NA
AalSFH,2,10,70,3,2.927,4.423,0,2/27/20,maybe affected by the cold,40.671
AalSFH,3,19,110,1,3.108,2.994,0,2/28/20,,29.234
AalSFH,3,19,207,2,2.917,3.666,0.01075,3/3/20,vln,33.595
AalSFH,3,19,208,3,2.989,4.114,0.03621875,3/3/20,,38.631
AalSFH,4,22,25,1,2.912,4.266,0.01153125,2/25/20,,39.027
AalSFH,4,22,26,2,2.86,2.76,0.0279375,2/25/20,,24.798
AalSFH,4,22,87,3,3.265,4.294,0.0146875,2/27/20,vln,44.045
AalSFH,5,43,65,1,3.369,4.293,0.08440625,2/26/20,,45.437
AalSFH,5,43,107,2,3.33,4.525,0.049875,2/28/20,,47.338
AalSFH,5,43,108,3,3.2,4.047,0,2/28/20,,40.685
AalSFH,6,119,357,1,3.842,5.025,0.004125,3/6/20,vln,60.652
AalSFH,6,119,358,2,3.882,4.907,0.02253125,3/6/20,,59.844
AalSFH,6,119,359,3,4.151,4.702,0.03171875,3/6/20,,61.318
AalSFH,7,122,364,1,3.714,5.035,0.02184375,3/6/20,,58.748
AalSFH,7,122,365,2,4.338,5.426,0.04978125,3/6/20,,73.947
AalSFH,8,195,565,1,2.981,3.555,0,3/13/20,,33.293
AalSFH,8,195,566,2,3.533,3.974,0.01253125,3/13/20,vln,44.108
AalSFH,8,195,567,3,3.305,3.973,0,3/13/20,,41.251
E3,1,111,330,1,3.536,4.427,0.01653125,3/6/20,Kajsa,49.178
E3,1,111,331,2,3.665,5.029,0.0396875,3/6/20,Kajsa + developed fruit,57.904
E3,1,111,438,3,3.048,4.043,0,3/11/20,,38.714
E3,2,123,366,1,4.062,4.381,0.008875,3/6/20,vln + good pic (f),55.907
E3,2,123,367,2,3.881,4.74,0.01328125,3/6/20,,57.793
E3,2,123,368,3,4.001,5.527,0.01909375,3/6/20,,69.472
E3,3,127,439,1,3.834,3.792,0.03028125,3/11/20,,45.674
E3,3,127,440,2,3.485,4.034,0.01028125,3/11/20,,44.166
E3,3,127,441,3,3.75,5.097,0.05325,3/11/20,,60.048
E3,4,129,445,1,3.114,4.474,0.063625,3/11/20,,43.769
E3,4,129,446,2,2.747,3.861,0.01025,3/11/20,,33.32
E3,4,129,447,3,2.766,4.351,0.0599375,3/11/20,,37.809
E3,5,160,454,1,3.882,4.486,0.00740625,3/12/20,vln,54.71
E3,5,160,455,2,3.839,3.986,0.00565625,3/12/20,vln,48.073
E3,5,160,456,3,3.89,4.458,0.01765625,3/12/20,vln,54.48
E3,6,161,457,1,2.923,3.976,0,3/12/20,,36.511
E3,6,161,458,2,2.599,3.748,0,3/12/20,,30.602
E3,6,161,459,3,2.675,3.92,0,3/12/20,,32.943
E3,7,163,462,1,4.021,5.109,0.08375,3/12/20,,64.539
E3,7,163,463,2,3.942,4.938,0.05559375,3/12/20,,61.153
E3,7,163,464,3,3.589,4.409,0.04521875,3/12/20,,49.712
E3,8,165,468,1,3.03,2.813,0,3/12/20,,26.777
E3,8,165,469,2,3.42,3.89,0,3/12/20,,41.795
E3,8,165,470,3,3.31,4.21,0,3/12/20,,43.778
E3,9,168,480,1,2.782,3.825,0.0134375,3/12/20,,33.43
E3,9,168,481,2,2.896,4.785,0.07246875,3/12/20,,43.534
E3,9,168,482,3,2.491,3.779,0.01778125,3/12/20,,29.573
E3,10,177,510,1,3.611,4.147,0,3/13/20,,47.045
E3,10,177,511,2,3.986,4.703,0,3/13/20,,58.893
E3,10,177,512,3,3.331,3.78,0.005625,3/13/20,vln,39.556
E3,11,178,513,1,3.061,3.05,0,3/13/20,,29.33
E3,11,178,514,2,3.379,3.349,0,3/13/20,,35.551
E3,11,178,515,3,3.521,3.909,0.00721875,3/13/20,,43.24
Fr1,1,1,11,1,3.11,3.46,0.046,2/25/20,,33.805
Fr1,1,1,78,2,3.033,3.407,0.014875,2/27/20,,32.463
Fr1,1,1,79,3,2.819,3.238,0,2/27/20,,28.676
Fr1,2,5,12,1,2.524,3.055,0,2/25/20,,24.224
Fr1,2,5,80,2,2.357,3.081,0,2/27/20,,22.814
Fr1,2,5,81,3,3.204,3.204,0.018125,2/27/20,,32.25
Fr1,3,21,18,1,2.872,3.751,0,2/25/20,malformed,33.844
Fr1,3,21,19,2,3.094,3.351,0.00484375,2/25/20,,32.572
Fr1,3,21,86,3,3.124,3.241,0.01371875,2/27/20,Very Little Nectar (vln),31.808
Fr1,4,23,56,1,3.17,4.41,0.0866875,2/26/20,,43.918
Fr1,4,23,103,2,2.676,3.515,0.026875,2/28/20,,29.55
Fr1,4,23,104,3,2.619,3.169,0,2/28/20,,26.074
Fr1,5,51,122,1,2.917,4.639,0,2/28/20,,42.512
Fr1,5,51,123,2,2.933,4.533,0,2/28/20,good pic,41.768
Fr1,5,51,124,3,3.409,5.038,0,2/28/20,good pic,53.955
Fr1,6,58,141,1,2.721,3.653,0.083,2/28/20,,31.227
Fr1,6,58,142,2,2.504,3.167,0.05228125,2/28/20,,24.913
Fr1,6,58,143,3,2.651,2.678,0,2/28/20,,22.303
Fr1,7,65,167,1,3.236,4.616,0.0263125,3/2/20,,46.927
Fr1,7,65,168,2,3.118,3.684,0.014625,3/2/20,vln,36.087
Fr1,7,65,169,3,3.016,4.153,0.019375,3/2/20,,39.35
Fr1,8,69,224,1,2.95,4.483,0.09621875,3/3/20,fruit is growing,41.547
Fr1,8,69,225,2,2.727,3.703,0.00240625,3/3/20,vln + stigma growing,31.724
Fr1,8,69,226,3,2.765,3.849,0.02165625,3/3/20,vln,33.434
Fr1,9,81,204,1,2.835,3.708,0,3/2/20,,33.025
Fr1,9,81,205,2,3.067,3.794,0.06671875,3/2/20,,36.556
Fr1,9,81,206,3,3.067,3.528,0.02740625,3/2/20,,33.993
Fr1,10,83,245,1,2.906,2.966,0.02484375,3/3/20,,27.078
Fr1,10,83,246,2,2.697,3.401,0,3/3/20,,28.816
Fr1,10,83,247,3,3.081,3.015,0.03603125,3/3/20,,29.183
Fr1,11,93,270,1,2.54,3.434,0,3/4/20,,27.402
Fr1,11,93,271,2,2.728,3.701,0,3/4/20,,31.719
Fr1,11,93,272,3,2.505,3.772,0,3/4/20,,29.684
Fr1,12,105,309,1,3.218,4.153,0.0364375,3/4/20,,41.985
Fr1,12,105,310,2,2.749,4.105,0.027625,3/4/20,,35.452
Fr1,12,105,311,3,2.994,4.406,0.0228125,3/4/20,,41.442
Fr1,13,130,451,1,1.989,3.295,0.03975,3/11/20,,20.589
Fr1,13,130,452,2,2.201,3.333,0.01109375,3/11/20,,23.046
Fr1,13,130,453,3,2.473,3.518,0.01115625,3/11/20,,27.332
Fr2,1,28,53,1,3.188,3.807,0,2/26/20,,38.129
Fr2,1,28,54,2,3.189,4.572,0.0585,2/26/20,,45.805
Fr2,1,28,55,3,3.142,4.007,0,2/26/20,,39.553
Fr2,2,32,57,1,3.307,3.758,0.07390625,2/26/20,,39.043
Fr2,2,32,58,2,3.186,3.748,0.0494375,2/26/20,,37.514
Fr2,2,32,102,3,3.462,3.579,0.03421875,2/28/20,,38.926
Fr2,3,44,98,1,3.605,4.115,0.00771875,2/27/20,vln,46.604
Fr2,3,44,99,2,4.084,4.2,0.0118125,2/27/20,vln,53.887
Fr2,3,44,114,3,3.916,3.75,0,2/28/20,,46.134
