ID,total,Top,file,Toluene_adj,NFlowers,total_tol
7904,581544.638,Benzyl Benzoate,201103,16901178.359,4,3.7218555815569294
7905,765205.297,Phenylethyl Alcohol,201103,20076423.795,5,3.298185259977639
7906,984484.246,Benzyl Benzoate,201103,21638137.801,4,4.921328270251858
7908,4809480.4180000005,Phenylethyl Alcohol,201103,15596974.76,5,26.683403581460524
7910,5234089.645,Phenylacetaldehyde,201103,18483869.424000002,6,20.419751476172895
7911,576732.6630000001,Benzyl Benzoate,201103,19038634.151,4,3.2766662366493
7912,503156.484,Benzyl Benzoate,201103,20108442.596999995,6,1.804375100109102
7913,416879.429,Phenylacetaldehyde,201103,21190115.47,5,1.7023959421334227
7914,3868922.596,Phenylethyl Alcohol,201103,18125125.797000002,6,15.392572185436755
7915,1629329.6500000001,Phenylacetaldehyde,201103,20089707.028,4,8.77260962024153
7916,416532.39,Benzyl Benzoate,201103,17113386.706000004,5,2.106183700936466
7918,958797.324,Benzyl Benzoate,201103,17510856.95,5,4.738084987713866
7920,2467395.415,Phenylethyl Alcohol,201103,13957553.389000002,7,10.926595184736664
7922,275167.971,Benzyl Benzoate,201103,19249711.884999998,7,0.8835457567755103
7923,7468435.124999999,Phenylethyl Alcohol,201103,14612536.983,5,44.22699404640405
7924,331166.91000000003,Benzaldehyde,201103,14509202.280000001,5,1.9750897436657695
7925,5346686.757,Phenylacetaldehyde,201103,13545424.882000001,6,28.46389287667775
7926,4737075.518,Phenylethyl Alcohol,201104,14956598.759000001,4,34.25870258249757
7928,2678825.731,Phenylethyl Alcohol,201103,14876255.957,5,15.58239657831758
7932,713365.334,Benzyl Benzoate,201109,17890240.178,7,2.4646271463132003
7934,1866723.281,Phenylacetaldehyde,201109,17043726.901,5,9.4776094955141
7936,1360081.394,Benzyl Benzoate,201109,18517754.799,6,5.296375375279582
7937,187766371.234,Phenylethyl Alcohol,201109,14732944.992,6,919.031576262408
7938,4545454.646000001,Phenylacetaldehyde,201109,18452172.406,7,15.225978870417
7939,229056.049,Phenylethyl Alcohol,201109,17016674.981,5,1.1647976741792678
7940,181731.963,Benzaldehyde,201109,17511346.039,6,0.7483658735968703
7941,785619.265,Phenylethyl Alcohol,201109,17352211.528000005,5,3.917786134731893
7943,7329469.569,Phenylethyl Alcohol,201109,17452789.588,5,36.34051909998882
7944,2178808.113,Phenylethyl Alcohol,201109,18875672.522,5,9.988493310204083
7945,195248.34,Benzaldehyde,201109,18768418.886,5,0.9002084720414527
7946,61548740.704,Benzaldehyde,201109,13041157.097000001,5,408.4007006411522
7947,215763.27899999998,Benzaldehyde,201109,18292649.02,5,1.020667685822138
7948,131999.837,Benzaldehyde,201109,17945266.762999997,5,0.6365124601333667
7950,300773.003,Benzaldehyde,201109,17465214.540999997,3,2.483688406763049
7951,242596.73,Benzaldehyde,201109,20178141.485999998,7,0.7431203894298841
7953,152597.735,Benzaldehyde,201109,17742113.41,5,0.7442625556222655
7954,345749.682,Benzaldehyde,201109,13283971.573,4,2.815316970341426
7955,2739268.946,Phenylacetaldehyde,201109,19023499.983,6,10.383563881764282
7956,90406054.52600001,Benzaldehyde,201109,16771184.817999998,9,259.14611336004566
7957,2207476.932,Phenylethyl Alcohol,201109,21834834.683999997,4,10.935526874081098
7958,1363195.005,Phenylethyl Alcohol,201109,12749007.231,6,7.710522450143449
7959,163528.237,Benzaldehyde,201110,16674678.545,6,0.7071922158071869
7960,108840.137,Benzaldehyde,201110,16228613.24,6,0.4836262406704293
7961,65237821.031,Benzaldehyde,201110,13461393.147,5,419.36566680499664
7962,43317737.429,Benzaldehyde,201110,16677147.081999999,8,140.47772206476586
7963,88733561.861,Benzaldehyde,201110,12986045.731,6,492.73473012407806
7964,33352206.309,Benzaldehyde,201110,13346199.529,7,154.46224863316937
7966,1318992.938,Benzaldehyde,201117,61944411.849,6,1.5354742012684774
7967,530487.267,Benzaldehyde,201117,35149063.05900001,6,1.0883370116994235
7969,537256.369,Benzaldehyde,201117,46517385.576,6,0.8328532061806067
7974,91296165.154,Benzaldehyde,201117,54812176.214999996,4,180.16438218804387
7976,78922411.946,Benzaldehyde,201117,48667945.587000005,4,175.40855942299407
7977,11658603.053,Benzaldehyde,201117,60967076.097,5,16.54758352821695
7978,6535262.459,Phenylethyl Alcohol,201117,60930565.977,5,9.281352236231283
7979,472703.034,Benzaldehyde,201117,48661541.709,5,0.8405933674155387
7980,615046.73,Benzaldehyde,201117,49399056.806,5,1.077389876322544
7981,2497216.674,Phenylethyl Alcohol,201117,37084262.066,3,9.71177847502235
7982,106405623.419,Benzaldehyde,201117,47406156.918,6,161.8571981375087
7984,59929749.642000005,Benzaldehyde,201117,47809987.192999996,7,77.47814849735721
7985,586847.497,Benzaldehyde,201117,49896208.819,5,1.0177500711115364
7986,475407.733,Benzaldehyde,201117,47345403.600999996,3,1.4481735184414124
7987,476191.18299999996,Benzaldehyde,201117,44731883.6,5,0.9211865687885616
7988,755280.4369999999,Benzaldehyde,201117,55317139.175,5,1.1814951891909125
7989,492528.49899999995,Benzaldehyde,201117,46170667.742,5,0.9230997701461257
7990,710775.552,Benzaldehyde,201117,47480857.184999995,5,1.2953805262351228
7993,791340.759,Benzaldehyde,201117,51106049.993,3,2.2331783186850136
7994,71242020.48900001,Benzaldehyde,201117,42445775.808,5,145.23964726668711
7995,37223797.774000004,Benzaldehyde,201117,40483904.446,6,66.30411404213412
7997,16603765.765999999,Benzaldehyde,201117,49974737.377,9,15.972283342315707
7998,58537603.166999996,Benzaldehyde,201117,36612836.11,5,138.3518586805375
7999,674488.113,Benzaldehyde,201117,55697340.766,5,1.047908282673863
8000,559708.287,Benzaldehyde,201117,52031153.139,4,1.1635679022673986
8001,42163588.293000005,Benzaldehyde,201117,62067214.75,5,58.7839466453197
8002,46236295.705,Benzaldehyde,201117,52622825.974,4,95.03909934246373
8005,209850987.84600002,Benzaldehyde,201117,56637749.547000006,6,267.182012392314
