Population,Plant_ID,Fruit_nr,Treatment,Missing_seeds,Seeds_counted,Seeds_estimate,Seeds_counted_including_estimated,fruit_length,Branch ,Comments,Seeds_model_OR_direct_count,Seeds_model_from_fruits_at least_5mm,Seeds_final
G1,113,1,hp,0,36,,36,,0,,,,36
G1,113,2,hp,0,29,,29,,0,,,,29
G1,113,3,c,0,22,,22,,0,,,,22
G1,113,1,n,0,10,,10,,0,,,,10
G1,113,2,n,0,9,,9,,0,,,,9
G1,113,4,c,0,0,,0,,0,,,,0
G1,115,2,n,0,22,,22,,0,,,,22
G1,115,4,n,0,20,,20,,0,,,,20
G1,115,1,n,0,15,,15,,0,,,,15
G1,115,3,n,0,13,,13,,0,,,,13
G1,115,1,c,0,8,,8,,0,,,,8
G1,115,2,hp,0,4,,4,,0,,,,4
G1,115,3,hp,0,2,,2,,0,,,,2
G1,115,4,c,0,2,,2,,0,,,,2
G1,115,8,hp,0,2,,2,,1,,,,2
G1,115,5,c,0,0,,0,,0,,,,0
G1,115,6,hp,0,0,,0,,0,,,,0
G1,115,7,c,0,0,,0,,1,,,,0
G1,116,2,n,0,33,,33,,0,,,,33
G1,116,5,n,0,32,,32,,0,,,,32
G1,116,1,n,0,31,,31,,0,,,,31
G1,116,3,n,0,20,,20,,0,,,,20
G1,116,4,n,0,17,,17,,0,,,,17
G1,116,9,hp,0,12,,12,,1,,,,12
G1,116,3,c,0,11,,11,,0,,,,11
G1,116,6,hp,0,8,,8,,1,,,,8
G1,116,7,hp,0,8,,8,,1,,,,8
G1,116,10,c,0,7,,7,,1,,,,7
G1,116,4,hp,0,5,,5,,0,,,,5
G1,116,5,c,0,5,,5,,1,,,,5
G1,116,1,c,0,4,,4,,0,,,,4
G1,116,2,hp,0,4,,4,,0,,,,4
G1,116,8,c,0,4,,4,,1,,,,4
G1,117,2,c,0,22,,22,,0,,,,22
G1,117,5,hp,0,20,,20,,1,,,,20
G1,117,3,c,0,17,,17,,0,,,,17
G1,117,4,hp,0,14,,14,,1,,,,14
G1,117,3,n,0,8,,8,,1,,,,8
G1,117,4,n,0,5,,5,,1,,,,5
G1,117,1,n,0,4,,4,,0,,,,4
G1,117,2,n,0,3,,3,,0,,,,3
G1,117,7,c,0,1,,1,,1,,,,1
G1,117,1,hp,0,0,,0,,0,,,,0
G1,117,6,c,0,0,,0,,1,,,,0
G1,118,1,n,0,31,,31,,0,,,,31
G1,118,2,hp,0,29,,29,,0,,,,29
G1,118,4,hp,0,28,,28,,0,,,,28
G1,118,3,c,0,27,,27,,0,,,,27
G1,118,1,c,0,20,,20,,0,,,,20
G1,118,3,n,0,8,,8,,1,,,,8
G1,118,5,hp,0,6,,6,,0,,,,6
G1,118,2,n,0,6,,6,,0,,,,6
G1,118,6,hp,0,1,,1,,1,,,,1
G1,118,7,c,0,0,,0,,1,,,,0
G1,119,1,n,0,37,,37,,0,,,,37
G1,119,3,n,0,29,,29,,1,,,,29
G1,119,2,hp,0,19,,19,,0,,,,19
G1,119,2,n,0,18,,18,,0,,,,18
G1,119,1,c,0,11,,11,,0,,,,11
G1,119,3,c,0,10,,10,,0,,,,10
G1,119,4,c,0,9,,9,,1,,,,9
G1,119,5,hp,0,9,,9,,1,,,,9
G1,119,6,hp,0,0,,0,,1,,,,0
G1,120,1,n,0,37,,37,,0,,,,37
G1,120,1,c,0,36,,36,,0,,,,36
G1,120,2,c,0,34,,34,,0,,,,34
G1,120,4,hp,0,33,,33,,0,,,,33
G1,120,6,hp,0,33,,33,,0,,,,33
G1,120,3,hp,0,25,,25,,0,,,,25
G1,120,2,n,0,16,,16,,0,,,,16
G1,120,5,hp,0,13,,13,,0,,,,13
G1,120,9,hp,0,12,,12,,1,,,,12
G1,120,4,n,0,8,,8,,0,,,,8
G1,120,8,c,0,6,,6,,0,,,,6
G1,120,3,n,0,4,,4,,0,,,,4
G1,120,7,c,0,0,,0,,0,,,,0
G1,121,3,n,0,38,,38,,0,,,,38
G1,121,1,n,0,34,,34,,0,,,,34
G1,121,2,n,0,28,,28,,0,,,,28
G1,121,4,n,0,20,,20,,0,,,,20
G1,121,1,c,0,16,,16,,0,,,,16
G1,121,2,c,0,15,,15,,0,,,,15
G1,121,7,hp,0,14,,14,,0,,,,14
G1,121,5,hp,0,11,,11,,0,,,,11
G1,121,8,c,0,10,,10,,0,,,,10
